code,feature_sector,top_error_appearances,mean_abs_error,median_abs_error,max_abs_error,mean_actual_return,mean_predicted_return,sign_mismatch_share,mean_feature_momentum_20,mean_feature_volatility_20,mean_feature_volume_ratio_20
HDG,Bất động sản,2,0.06742037978256121,0.06742037978256121,0.0675350980600342,0.06871742382645606,0.0012970440438948498,0.0,-0.081307929389483,0.0223785739421362,0.8457416606325148
BID,Ngân hàng,2,0.06402755680028345,0.06402755680028345,0.0675506276311353,0.06371526233851905,-0.0003122944617644,0.5,0.0566188737181338,0.01573886278912425,0.8433807726500625
DCM,Hóa chất,2,0.05809014893020495,0.05809014893020495,0.0685113331419415,0.010726764798164347,0.00030558058642779994,1.0,-0.035972263881292245,0.0121567466214253,0.9879648927861561
IMP,Y tế,2,0.057980807905551046,0.057980807905551046,0.07060055027250199,0.011788299307227149,-0.0008314430597238,0.5,0.04773079505789065,0.0156486943704542,2.173332877264028
NKG,Tài nguyên Cơ bản,2,0.05495387577684585,0.05495387577684585,0.0574566959403454,0.0543159339576959,-0.0006379418191499501,1.0,0.03090033002721045,0.01303143827020075,1.2857604636207751
VSC,Hàng & Dịch vụ Công nghiệp,2,0.05327271060377825,0.05327271060377825,0.062160993169527494,0.009084997698664648,0.0001967151329154,0.0,-0.0414455508793,0.013947919809584201,0.8735516500266303
HDC,Bất động sản,2,0.0530242240056395,0.0530242240056395,0.0610594431636855,0.05172543227672575,-0.00129879172891375,1.0,-0.08247249149486946,0.01047295896581765,0.7772395419145819
FPT,Công nghệ Thông tin,2,0.052203476865542955,0.052203476865542955,0.0563053365913218,0.051472017541527706,-0.00073145932401525,1.0,0.0150178837088188,0.01476389740543585,2.0933241122049604
PNJ,Hàng cá nhân & Gia dụng,2,0.052023970150912605,0.052023970150912605,0.0709932432509958,0.051361057907342904,-0.0006629122435697007,1.0,0.021365061638245753,0.014097048046999551,1.074059819035988
KDC,Thực phẩm và đồ uống,2,0.047206929128151304,0.047206929128151304,0.06498785072471941,0.0460292268544435,-0.0011777022737078,1.0,-0.02070182750336485,0.0107441214183161,1.4884277307630762
HT1,Xây dựng và Vật liệu,2,0.04210598149802535,0.04210598149802535,0.0527354567311705,0.01304752938449385,0.0024180541513487,0.5,0.2188144329896907,0.02590670099864265,1.7531364747723026
PAN,Thực phẩm và đồ uống,2,0.0396071742870844,0.0396071742870844,0.052815641625784296,0.03786004614084955,-0.0017471281462348499,1.0,0.02250888273287065,0.01626713812457065,3.898751906753227
VCI,Dịch vụ tài chính,2,0.03927241801284251,0.03927241801284251,0.042961520142853205,0.039232887327671,-3.953068517150002e-05,0.5,0.09760105593415695,0.0175851543911138,0.4559229215688426
SJS,Bất động sản,2,0.0392498159490059,0.0392498159490059,0.0549380128213669,0.015615665353834648,-7.253151852635e-05,1.0,-0.01856505756715175,0.019375874143169748,0.9844020874940851
HPG,Tài nguyên Cơ bản,2,0.0377890679810661,0.0377890679810661,0.0389315750217065,0.03816308826208105,0.00037402028101495005,0.5,-0.0675740122007044,0.01727589329562155,1.1459117704869302
GEX,Hàng & Dịch vụ Công nghiệp,2,0.03681680743466125,0.03681680743466125,0.0372995444922707,0.03751615621149535,0.0006993487768341,0.5,0.02925852550768375,0.0168833858365049,1.2664001750819558
SCS,Du lịch và Giải trí,2,0.035549691176129244,0.035549691176129244,0.0373760872462299,0.0020425915718078995,0.0002161955017072471,0.5,0.1469464118059923,0.01697561341576255,0.15511086209324285
DPM,Hóa chất,2,0.03531847667181865,0.03531847667181865,0.0376877012895421,-0.003497717902064351,-0.0011284932843409,0.5,0.0005066757409135508,0.01045086817400865,1.2734096288525025
VIB,Ngân hàng,1,0.07944489049259561,0.07944489049259561,0.07944489049259561,0.0784982964396476,-0.000946594052948,1.0,0.0711610486891385,0.0143006524907591,2.153316106804479
PC1,Xây dựng và Vật liệu,1,0.07000347162829709,0.07000347162829709,0.07000347162829709,0.0697367861866951,-0.000266685441602,1.0,0.0917030300161783,0.0122087229170677,1.8143241801924417
GAS,"Điện, nước & xăng dầu khí đốt",1,0.062093876069411705,0.062093876069411705,0.062093876069411705,0.0632183700799942,0.0011244940105825,0.0,0.0738424013561505,0.0179580521589748,1.2270790977808477
CTD,Xây dựng và Vật liệu,1,0.05775338513194576,0.05775338513194576,0.05775338513194576,0.0577778257429599,2.4440611014142632e-05,0.0,0.0970873680380184,0.0157621116829981,2.3217583166826072
PDR,Bất động sản,1,0.0507826087996364,0.0507826087996364,0.0507826087996364,0.0512445643544197,0.0004619555547833,0.0,0.0746501349417181,0.011415480180294,0.9077128570610584
FTS,Dịch vụ tài chính,1,0.046024215174838796,0.046024215174838796,0.046024215174838796,0.0438595861196517,-0.0021646290551871,1.0,0.0088495581068148,0.0068278796791315,2.227192635477723
MBB,Ngân hàng,1,0.0449323028733488,0.0449323028733488,0.0449323028733488,0.0452756769955158,0.000343374122167,0.0,0.0019531432523105,0.0184138782866795,2.138326248343281
VJC,Du lịch và Giải trí,1,0.042079643462784505,0.042079643462784505,0.042079643462784505,-0.0420101545751094,6.948888767510653e-05,1.0,0.1895994163826613,0.0115031966333221,0.7710480512059138
PTB,Tài nguyên Cơ bản,1,0.0364549796795472,0.0364549796795472,0.0364549796795472,0.0350515469908714,-0.0014034326886758,1.0,-0.1435185185185185,0.01734724512578,0.8135336886729637
