n,rel_score,absE_robust,base_robust,absE_q90,DA,pred_actual_q90_ratio,market,model,fold_id,test_start,test_end,alpha_rel_score,alpha_absE_robust,selected_from_train
546,0.0002173071995288378,0.023559160719742067,0.023564281407743692,0.02868141996441409,0.5659340659340659,0.07179593745277475,JP,seed82_raw,4,2020-08-05,2020-09-03,0.0009678089682996216,0.019748059930861928,
546,-0.008104335597340473,0.022854670120068477,0.02267093723639846,0.025928910577931674,0.5586080586080586,0.03630280807155099,JP,seed82_raw,5,2020-09-04,2020-10-07,0.008712129695159887,0.018112562138412613,
546,-0.0131484299737048,0.0256850797777588,0.025351744145154953,0.031180252779449802,0.48534798534798534,0.03269643148080756,JP,seed82_raw,6,2020-10-08,2020-11-06,-0.0020402303905719954,0.019740644747798797,
546,0.009168340692718102,0.02938868851015286,0.029660627245903015,0.034453924348781584,0.49633699633699635,0.06072512813860149,JP,seed82_raw,7,2020-11-09,2020-12-08,0.005631148386598617,0.023951991970534436,
545,0.007285396077251205,0.023436801304342232,0.023608800768852235,0.027256384084466855,0.5229357798165137,0.03725205847401281,JP,seed82_raw,8,2020-12-09,2021-01-08,0.001288023137699712,0.020516139731626026,
546,-0.0029442497690401748,0.02566244188892597,0.025587107054889202,0.029852546878828434,0.5036630036630036,0.043924314261194225,JP,seed82_raw,9,2021-01-12,2021-02-09,0.008090267150393515,0.022759019950171933,
545,0.004130882034307448,0.02982102572277654,0.0299447238445282,0.035674987081438306,0.5376146788990825,0.04066711192266131,JP,seed82_raw,10,2021-02-10,2021-03-12,0.0005151252207086232,0.025352671480504796,
546,0.005202750803748768,0.025636080477852374,0.025770156178623438,0.02997098748164717,0.521978021978022,0.03543035817741671,JP,seed82_raw,11,2021-03-15,2021-04-12,-0.00828792991420535,0.02061701210186584,
546,0.004770132932013338,0.027301082021949696,0.027431936003267765,0.031995545912650414,0.4981684981684982,0.02326499349518866,JP,seed82_raw,12,2021-04-13,2021-05-17,-0.0057157219138517235,0.020837344098254107,
546,0.006342402934510383,0.019255801096733194,0.01937870867550373,0.023392836083075963,0.5164835164835165,0.04394843370888961,JP,seed82_raw,13,2021-05-18,2021-06-15,-0.0021726245698407975,0.017712767174089095,
546,-0.017753961350314595,0.022362942298059352,0.021972837392240763,0.025590062577975914,0.4597069597069597,0.034547395865903094,JP,seed82_raw,14,2021-06-16,2021-07-14,-0.011321219321481557,0.015123998746275902,
546,-0.0009750072156162748,0.021929450063908007,0.021908089518547058,0.025877607506117783,0.5036630036630036,0.02945067531872877,JP,seed82_raw,15,2021-07-15,2021-08-17,0.004181193269381711,0.016787670254416298,
546,0.0003634505599510174,0.02163189466955373,0.02163975965231657,0.02387133229058236,0.554945054945055,0.04346251814431983,JP,seed82_raw,16,2021-08-18,2021-09-15,0.004205419844948266,0.01710418891889276,
546,-0.0005478277152557443,0.02711737472418463,0.02710252720862627,0.030994174550869502,0.4597069597069597,0.04675934850892744,JP,seed82_raw,17,2021-09-16,2021-10-18,-0.006825572891515197,0.020489187227212824,
